Name,Value
a1_1,0
a1_2,0
a1_3,0
a1_4,0
a1_5,0
a1_6,0
a1_7,0
a1_8,0
a1_9,0
a1_10,0
a1_11,0
a1_12,0
a2_1,0
a2_2,0
a2_3,0
a2_4,0
a2_5,0
a2_6,0
a2_7,0
a2_8,0
a2_9,0
a2_10,0
a2_11,0
a2_12,0
a3_1,0
a3_2,0
a3_3,0
a3_4,0
a3_5,0
a3_6,0
a3_7,0
a3_8,0
a3_9,0
a3_10,0
a3_11,0
a3_12,0
a4_1,0
a4_2,0
a4_3,0
a4_4,0
a4_5,0
a4_6,0
a4_7,0
a4_8,0
a4_9,0
a4_10,0
a4_11,0
a4_12,0
a5_1,0
a5_2,0
a5_3,0
a5_4,0
a5_5,0
a5_6,0
a5_7,0
a5_8,0
a5_9,0
a5_10,0
a5_11,0
a5_12,0
a6_1,0
a6_2,0
a6_3,0
a6_4,0
a6_5,0
a6_6,0
a6_7,0
a6_8,0
a6_9,0
a6_10,0
a6_11,0
a6_12,0
a7_1,0
a7_2,0
a7_3,0
a7_4,0
a7_5,0
a7_6,0
a7_7,0
a7_8,0
a7_9,0
a7_10,0
a7_11,0
a7_12,0
a8_1,0
a8_2,0
a8_3,0
a8_4,0
a8_5,0
a8_6,0
a8_7,0
a8_8,0
a8_9,0
a8_10,0
a8_11,0
a8_12,0
b1_1,0
b1_2,0
b1_3,0
b1_4,0
b1_5,0
b1_6,0
b1_7,0
b1_8,0
b1_9,0
b1_10,0
b1_11,0
b1_12,0
b2_1,0
b2_2,0
b2_3,0
b2_4,0
b2_5,0
b2_6,0
b2_7,0
b2_8,0
b2_9,0
b2_10,0
b2_11,0
b2_12,0
b3_1,0
b3_2,0
b3_3,0
b3_4,0
b3_5,0
b3_6,0
b3_7,0
b3_8,0
b3_9,0
b3_10,0
b3_11,0
b3_12,0
b4_1,0
b4_2,0
b4_3,0
b4_4,0
b4_5,0
b4_6,0
b4_7,0
b4_8,0
b4_9,0
b4_10,0
b4_11,0
b4_12,0
b5_1,0
b5_2,0
b5_3,0
b5_4,0
b5_5,0
b5_6,0
b5_7,0
b5_8,0
b5_9,0
b5_10,0
b5_11,0
b5_12,0
b6_1,0
b6_2,0
b6_3,0
b6_4,0
b6_5,0
b6_6,0
b6_7,0
b6_8,0
b6_9,0
b6_10,0
b6_11,0
b6_12,0
b7_1,0
b7_2,0
b7_3,0
b7_4,0
b7_5,0
b7_6,0
b7_7,0
b7_8,0
b7_9,0
b7_10,0
b7_11,0
b7_12,0
b8_1,0
b8_2,0
b8_3,0
b8_4,0
b8_5,0
b8_6,0
b8_7,0
b8_8,0
b8_9,0
b8_10,0
b8_11,0
b8_12,0
c1_1,0
c1_2,0
c1_3,0
c1_4,0
c1_5,0
c1_6,0
c1_7,0
c1_8,0
c1_9,0
c1_10,0
c1_11,0
c1_12,0
c2_1,0
c2_2,0
c2_3,0
c2_4,0
c2_5,0
c2_6,0
c2_7,0
c2_8,0
c2_9,0
c2_10,0
c2_11,0
c2_12,0
c3_1,0
c3_2,0
c3_3,0
c3_4,0
c3_5,0
c3_6,0
c3_7,0
c3_8,0
c3_9,0
c3_10,0
c3_11,0
c3_12,0
c4_1,0
c4_2,0
c4_3,0
c4_4,0
c4_5,0
c4_6,0
c4_7,0
c4_8,0
c4_9,0
c4_10,0
c4_11,0
c4_12,0
c5_1,0
c5_2,0
c5_3,0
c5_4,0
c5_5,0
c5_6,0
c5_7,0
c5_8,0
c5_9,0
c5_10,0
c5_11,0
c5_12,0
c6_1,0
c6_2,0
c6_3,0
c6_4,0
c6_5,0
c6_6,0
c6_7,0
c6_8,0
c6_9,0
c6_10,0
c6_11,0
c6_12,0
c7_1,0
c7_2,0
c7_3,0
c7_4,0
c7_5,0
c7_6,0
c7_7,0
c7_8,0
c7_9,0
c7_10,0
c7_11,0
c7_12,0
c8_1,0
c8_2,0
c8_3,0
c8_4,0
c8_5,0
c8_6,0
c8_7,0
c8_8,0
c8_9,0
c8_10,0
c8_11,0
c8_12,0
d1_1,0
d1_2,0
d1_3,0
d1_4,0
d1_5,0
d1_6,0
d1_7,0
d1_8,0
d1_9,0
d1_10,0
d1_11,0
d1_12,0
d2_1,0
d2_2,0
d2_3,0
d2_4,0
d2_5,0
d2_6,0
d2_7,0
d2_8,0
d2_9,0
d2_10,0
d2_11,0
d2_12,0
d3_1,0
d3_2,0
d3_3,0
d3_4,0
d3_5,0
d3_6,0
d3_7,0
d3_8,0
d3_9,0
d3_10,0
d3_11,0
d3_12,0
d4_1,0
d4_2,0
d4_3,0
d4_4,0
d4_5,0
d4_6,0
d4_7,0
d4_8,0
d4_9,0
d4_10,0
d4_11,0
d4_12,0
d5_1,0
d5_2,0
d5_3,0
d5_4,0
d5_5,0
d5_6,0
d5_7,0
d5_8,0
d5_9,0
d5_10,0
d5_11,0
d5_12,0
d6_1,0
d6_2,0
d6_3,0
d6_4,0
